NOMGARE;PAYS;VILLEDESSERVIE;X;Y;TGV
Bonneval;France;Bonneval;48,18628757;1,38611673; 
Bonneville;France;Bonneville;46,07784272;6,4169001;
Bonnières-sur-Seine;France;Bonnieres-sur-Seine;49,03874562;1,58130111; 
Bons en Chablais;France;Bons en Chablais;46,27000322;6,36643225; 
Bonson;France;Bonson;45,52245823;4,21628281; 
Boran-sur-Oise;France;Boran-sur-Oise;49,16728995;2,36252152; 
Bordeaux Saint Jean;France;Bordeaux;44,82593389;-0,55596035;OUI
Bordes;France;Bordes;43,19794269;0,22550305; 
Bords;France;Bords;45,8946929;-0,79885273; 
Borne;France;Borne;45,10145816;3,79498002; 
Bornel;France;Bornel;49,19449995;2,20687792; 
Bort-les-Orgues;France;Bort-les-Orgues;45,40635653;2,50256351; 
Bouaye;France;Bouaye;47,1377757;-1,67982308; 
Boucau;France;Boucau;43,5234956;-1,49064121; 
Bouchain;France;Bouchain;50,27825467;3,33195982; 
Boucoiran-et-Nozières;France;Boucoiran-et-Nozieres;43,99235822;4,18763415; 
Bouffémont;France;Bouffemont;49,04498984;2,32322951; 
Bougival;France;Bougival;48,84302528;2,13766327; 
Bougival;France;Bougival;48,85401646;2,13205061; 
Boulogne-sur-Mer Centre;France;Boulogne-sur-Mer;50,71560619;1,6103283;OUI
Bouray-sur-Juine;France;Bouray-sur-Juine;48,53324698;2,29029924; 
Bourbourg;France;Bourbourg;50,95273901;2,19502623; 
Bourg-Bruche;France;Bourg-Bruche;48,36033652;7,13715179; 
Bourg-En-Bresse;France;Bourg-En-Bresse;46,20003882;5,21484776;OUI
Bourges;France;Bourges;47,09430964;2,39485874;
Bourg-Madame;France;Bourg-Madame;42,43209002;1,94931314; 
Bourgneuf-en-Retz;France;Bourgneuf-en-Retz;47,04684377;-1,95529641; 
Bourgoin-Jallieu;France;Bourgoin-Jallieu;45,5837256;5,27399767;
Bourg-Saint-Maurice;France;Bourg-Saint-Maurice;45,61952243;6,77145928;OUI
Bourgtheroulde-Infreville;France;Bourgtheroulde-Infreville;49,31750114;0,8396577; 
Bourisp;France;Bourisp;42,82959218;0,33658113; 
Bournezeau;France;Bournezeau;46,65148402;-1,17847376; 
Bourron-Marlotte;France;Bourron-Marlotte;48,3324708;2,69283879; 
Bourth;France;Bourth;48,7654198;0,80592684; 
Boussay;France;Boussay;47,05059771;-1,18339763; 
Boussens;France;Boussens;43,17964303;0,97218467; 
